"artist","album","release_date","tracks","album_type","markets"
"Levi Hummon","Levi Hummon EP","2018-10-26",6,"single",65
"Lukas Graham","Lukas Graham","2016-04-01",11,"album",65
"Marco Benevento","The Story of Fred Short","2016-04-01",11,"album",65
"Matthew Barber & Jill Barber","The Family Album","2016-09-09",14,"album",65
"Michael John LaChiusa","First Daughter Suite (Original Cast Recording)","2016-02-26",21,"album",65
"Mike & The Melvins","Three Men and a Baby","2016-04-01",12,"album",65
"Moderat","III","2008-01-01",16,"album",65
"Mogwai","Atomic","2003-01-01",12,"album",65
"Nelson Freitas","Four","2016-11-17",9,"album",65
"Operators","Blue Wave","2015-12-28",11,"album",65
"Pet Shop Boys","Super","1977-02-04",58,"album",65
"Polyenso","Pure in the Plastic","2016-04-01",10,"album",65
"Problem","Hotels 2: The Master Suite","2016-04-08",17,"album",65
"Purple","Bodacious","2016-04-01",12,"album",65
"Ray Rocket","Do You Wanna Go To Tijuana","2016-04-01",12,"album",65
"Robbie Fulks","Upland Stories","2016-04-01",12,"album",65
"Sasha","Late Night Tales Presents Sasha: Scene Delete","2016-04-01",22,"album",65
"Smile Empty Soul","Shapeshifter EP","2017-06-23",7,"single",65
"Teen Suicide","It's the Big Joyous Celebration, Let's Stir the Honeypot","2016-04-01",26,"album",65
"Terrace Martin","Velvet Portraits","2016-04-01",14,"album",65
"The Algorithm","Brute Force","2016-04-01",10,"album",65
"The Heavy","Hurt & The Merciless","2018-10-16",1,"single",65
"7Horse","Livin in a Bitch of a World","2016-04-15",10,"album",65
"Ace Frehley","Origins, Vol. 1","2016-04-15",12,"album",65
"Alessia Cara","Here (The Remixes)","2016-04-15",4,"single",65
"All India Radio","The Slow Light","2016-04-15",10,"album",65
"Amber Rubarth","Scribbled Folk Symphonies","2016-04-15",13,"album",65
"Bear Hands","You'll Pay for This","2016-04-15",12,"album",65
"Blaqk Audio","Material","2015-06-23",13,"album",65
"Boosie Badazz & C-Murder","Penitentiary Chances","2016-04-15",20,"album",65
"Boyce Avenue","Road Less Traveled","2017-01-27",12,"album",65
"Cate Le Bon","Crab Day","2016-04-15",10,"album",65
"Cellars","Phases","2017-11-10",12,"album",65
"Charly Cole","Gotcha","2017-12-24",1,"single",65
"Christopher","Closer","2016-07-29",1,"single",65
"Clairy Browne","Pool","2016-05-08",11,"album",65
"Crematory","Monument","2010-08-16",11,"album",65
"Daria","Strawberry Fields Forever","2010-03-19",1,"single",65
"Del Barber & The No Regretzkys","The Puck Drops Here","2016-04-15",14,"album",65
"Del McCoury Band","Del & Woody","2017-07-21",16,"album",65
"Doll Skin","In Your Face (Again)","2016-04-15",7,"album",65
"Dynazty","Titanic Mass","2016-04-15",13,"album",65
"East of Venus","Memory Box","2017-02-25",20,"album",65
"Edward Sharpe & The Magnetic Zeros","PersonA","2016-06-29",13,"album",65
"Eric Lindell","Matters of the Heart","2016-04-15",16,"album",65
"Eskimeaux","Year of the Rabbit EP","2003-01-01",4,"single",65
"Evans Blue","Letters from the Dead","2016-04-15",13,"album",65
"Frisco","System Killer","2016-04-17",15,"album",65
"Golden State Lone Star Blues Revue","Golden State Lone Star Blues Revue","2016-04-15",14,"album",65
"Grafh","Pain Killers: Reloaded","2016-04-15",18,"album",65
"Graham Nash","This Path Tonight","2016-04-15",10,"album",65
"Grand Puba","Black from the Future","2016-04-15",12,"album",65
"Har Mar Superstar","Best Summer Ever","2016-04-15",10,"album",65
"Herrick","Cottonfields","2016-04-15",10,"album",65
"Hiatus Kaiyote","Recalibrations, Vol. 1","2016-05-16",4,"single",65
"J Dilla","The Diary","2003-12-02",15,"album",65
"Javier Colon","Gravity","2018-06-29",11,"album",65
"Joe Mullins & The Radio Ramblers","Sacred Memories","2016-04-15",12,"album",65
"John Carpenter","Lost Themes II","2016-04-15",12,"album",65
"Keb' Mo'","That Hot Pink Blues Album (Live)","2016-04-15",16,"album",65
"Kevin Morby","Singing Saw","2016-04-15",9,"album",65
"Lance Lopez","Live in NYC","2014-10-07",13,"album",65
"LANco","Extended Play","2013-06-18",18,"album",65
"Lil Uzi Vert","Lil Uzi Vert Vs. The World","2016-05-27",9,"album",65
"Lush","Blind Spot EP","2012-10-08",5,"single",65
"Mantar","Ode to the Flame","2016-04-15",10,"album",65
"Marie Osmond","Music Is Medicine","2016-04-01",1,"single",65
"MIK","EM3","2005-01-01",12,"album",65
"Mistah F.A.B. & DJ Fresh","The Tonite Show With Mistah F.A.B., Pt. 3: Live From 45","2016-04-15",11,"album",65
"Mr. Lif","Don't Look Down","2015-03-17",1,"single",65
"Musiq Soulchild","Life on Earth","2016-04-15",12,"album",65
"Otep","Generation Doom","2016-04-15",15,"album",65
"Paul Young","Good Thing","2018-05-04",10,"album",65
"PJ Harvey","The Hope Six Demolition Project","2016-04-15",11,"album",65
"Rarity","I Couldn't Be Weaker","2016-04-15",10,"album",65
"Royce 5'9""","Layers","2016-11-04",12,"album",65
"Sam Beam & Jesca Hoop","Love Letter for Fire","2016-04-15",13,"album",65
"Santana","Santana IV","2016-02-05",16,"album",65
"Shiraz Lane","For Crying out Loud","2017-05-05",27,"album",65
"Snakehips","All My Friends EP","2016-04-15",4,"single",65
"Sturgill Simpson","A Sailor's Guide to Earth","2016-04-15",9,"album",65
"Surgical Meth Machine","Surgical Meth Machine","2016-04-15",12,"album",65
"The Coathangers","Nosebleed Weekend","2016-04-15",13,"album",65
"The Dandy Warhols","Distortland","2016-04-08",10,"album",65
"The Defiants","The Defiants","2016-04-15",12,"album",65
"The Honeydogs","Love & Cannibalism","2018-08-24",26,"album",65
"The Polish Ambassador","Dreaming of an Old Tomorrow","2016-04-15",14,"album",65
"Wild Belle","Dreamland","2016-12-16",13,"album",65
"Levitation Room","Ethos","2016-03-19",10,"album",65
"Rich The Kid","Trap Talk","2010-09-20",12,"album",65
"DJ Quik & Problem","Rosecrans","2017-04-20",12,"album",65
"Helicopter Showdown","There the Vultures Will Gather","2016-04-20",10,"album",65
"Justin Martin","Hello Clouds","2016-04-20",13,"album",65
"Purity","Old Saw","1991-05-01",15,"album",65
"Verbal Kent & !llmind","Weight Of Your World","2012-12-14",5,"single",65
"Aborted","Retrogore","2016-04-22",12,"album",65
"Andy Stott","Too Many Voices","2016-04-22",9,"album",65
"A$AP Ferg","Always Strive and Prosper","2016-06-22",19,"album",65
"Bankroll Mafia","Bankroll Mafia","2016-04-22",17,"album",65
"Big Black Delta","Trágame Tierra","2016-04-29",12,"album",65
"Blue October","Home","2018-03-23",12,"album",65
"Calyx & TeeBee","1 x 1","2006-06-25",12,"album",65
"Candlebox","Disappearing in Airports","2016-04-22",11,"album",65
"Carlos Niño & Friends","Flutes, Echoes, It's All Happening","2016-04-22",9,"album",65
"Dami Im","Classic Carpenters","2016-04-22",11,"album",65
"Darkness Divided","Darkness Divided","2016-04-22",11,"album",65
"Eths","Ankaa","2016-04-22",12,"album",65
"Fort Frances","Alio","2016-04-22",13,"album",65
"Frution","Labor of Love","2016-04-22",10,"album",65
"Guided By Voices","Please Be Honest","2016-04-22",15,"album",65
"Halsey","Complimentary Colors","2018-10-12",4,"single",65
"Incite","Oppression","2017-10-07",10,"album",65
"Sixx:A.M.","Prayers for the Damned","2016-04-29",11,"album",65
"Snarky Puppy","Culcha Vulcha","2016-04-29",10,"album",65
"Stimming","Alpe Lusia","2016-04-29",10,"album",65
"Sugar Blue","Voyage","2015-01-20",12,"album",65
"Tell the Wolves I'm Home","Persevere (EP)","2014-12-11",2,"single",65
"The Bo-Keys","Heartaches by the Number","2005-06-20",11,"album",65
"The Boxer Rebellion","Ocean by Ocean","2016-04-29",10,"album",65
"The Jayhawks","Paging Mr. Proust","2016-04-29",12,"album",65
"The Posies","Solid States","2016-05-20",12,"album",65
"Travis","Everything at Once","2018-07-06",5,"single",65
"Tremonti","Dust","2018-08-20",15,"album",65
"Various","An American Victory (Studio Cast Recording)","2016-04-22",21,"compilation",65
"Victoria+Jean","Divine Love","2018-10-30",14,"album",65
"JT Machinima","Power-Up","2016-04-30",18,"album",65
"Kyle Craft","Dolls of Highland","2016-04-29",12,"album",65
"Meyhem Lauren","Piatto D'Oro","2017-01-31",15,"album",65
"ScienZe","Good Food","2018-08-17",1,"single",65
"Michael Longoria","Broadway Brick By Brick","2016-05-05",13,"album",65
"Trouble","Skoobzilla","2016-05-05",14,"album",65
"Andy Black","The Shadow Side","2016-03-18",13,"album",65
"ANOHNI","HOPELESSNESS","2016-05-06",11,"album",65
"Bethany Becker","I Want Love","2016-04-29",14,"album",65
"Beverly","The Blue Swell","2016-05-06",10,"album",65
"Chris Cohen","As If Apart","2016-05-06",10,"album",65
"Cole Swindell","You Should Be Here","2016-05-06",12,"album",65
"Cyndi Lauper","Detour","2018-07-20",28,"album",65
"Death Grips","Bottomless Pit","2016-05-06",13,"album",65
"Elizabeth Joy Roe","Field: Complete Nocturnes","2016-05-01",18,"album",65
"Goo Goo Dolls","Boxes","2016-05-06",11,"album",65
"Gregory Porter","Take Me To The Alley","2016-05-06",14,"album",65
"Holy White Hounds","Sparkle Sparkle","1995-01-01",14,"album",65
"Homeboy Sandman","Kindness for Weakness","2016-05-06",14,"album",65
"James Blake","The Colour In Anything","2016-05-05",17,"album",65
"James McCartney","The Blackberry Train","2016-05-06",11,"album",65
"Jason Lyle Black","Piano Preludes","2018-10-19",24,"album",65
"Jaye Bartell","Light Enough","2016-04-29",12,"album",65
"JD Eicher","The Middle Distance","2016-05-06",10,"album",65
"Jean Michel Jarre","Electronica 2: The Heart of Noise","2016-05-06",18,"album",65
"JMSN","It Is.","2001-10-08",11,"album",65
"Julianna Barwick","Will","2018-02-02",13,"album",65
"Keith Urban","Ripcord","2016-05-06",13,"album",65
"The Living End","Shift","2017-05-05",12,"album",65
"LUH","Spiritual Songs for Lovers to Sing","2016-05-06",12,"album",65
"Mary Chapin Carpenter","The Things That We Are Made Of","2016-05-06",13,"album",65
"Mike Posner","At Night, Alone","2016-05-06",18,"album",65
"Moon Taxi","New Year's Eve 2015","2016-01-01",10,"album",65
"Moreland & Arbuckle","Promised Land or Bust","2016-05-06",11,"album",65
"Mountain Heart","Blue Skies","2015-12-18",4,"single",65
"MUNA","The Loudspeaker EP","2016-05-06",4,"single",65
"Neonlight","My Galactic Tale","2016-05-06",16,"album",65
"Perturbator","The Uncanny Valley","2016-05-06",13,"album",65
"Rawtekk","Here's to Them","2016-05-06",13,"album",65
"Rittz","Top of the Line","2016-05-06",24,"album",65
"Rooney","Washed Away","2015-11-10",1,"single",65
"RY X","Dawn","2017-09-07",1,"single",65
"Seratones","Get Gone","2017-07-07",1,"single",65
"Skepta","Konnichiwa","2016-05-06",12,"album",65
"Spookyland","Beauty Already Beautiful","2016-05-06",11,"album",65
"Thalía","Latina","2016-05-06",13,"album",65
"The Rides","Pierced Arrow","2016-01-01",10,"album",65
"Theo Croker","Escape Velocity","2017-04-28",13,"album",65
"Thomas Cohen","Bloom Forever","2016-05-06",9,"album",65
"Tim Bowman Jr","Listen","2014-11-24",18,"album",65
"Tourist","U","2015-10-02",14,"album",65
"Vektor","Terminal Redux","2016-05-06",10,"album",65
"VÉRITÉ","Living EP","2013-12-02",5,"single",65
"Vesuvius","My Place of Solace and Rest","2016-05-06",8,"album",65
"Victor Love","Technomancy","2016-05-06",10,"album",65
"Watercolor Werewolf","AM Nights","2017-08-25",1,"single",65
"White Lung","Paradise","2015-02-24",12,"album",65
"Yoni & Geti","Testarossa","2016-05-06",14,"album",65
"Radiohead","A Moon Shaped Pool","2016-05-08",11,"album",65
"Stephen","Sincerely","2018-10-26",14,"album",65
"DMK","DMK EP","2016-05-11",6,"single",65
"3OH!3","Night Sports","2016-05-13",11,"album",65
"Adia Victoria","Beyond the Bloodhounds","2016-05-13",12,"album",65
"American Authors","What We Live For","2016-07-01",12,"album",65
"Arbor Labor Union","I Hear You","2017-06-21",1,"single",65
"Avatar","Feathers & Flesh","2012-08-28",12,"album",65
"Bahari","Dancing on the Sun","2016-05-13",5,"single",65
"Bobby Brackins","To Live For","2015-10-23",10,"album",65
"Brodka","Clashes","2016-05-13",12,"album",65
"Chance The Rapper","Coloring Book","2016-05-27",14,"album",65
"Cold Collective","Bachelorette Party","2016-05-13",10,"album",65
"Corinne Bailey Rae","The Heart Speaks in Whispers","2016-05-13",16,"album",65
"Daily Grind","I Did Those Things","2016-05-13",11,"album",65
"Dance Gavin Dance","Tree City Sessions","2016-05-13",12,"album",65
"Darrell Scott","Couchville Sessions","2016-05-13",14,"album",65
"David Bazan","Blanco","2018-07-12",1,"single",65
"David Correy","Raw Soul","2018-10-20",1,"single",65
"DevilDriver","Trust No One","2018-06-13",7,"album",65
"Eagulls","Ullages","2016-05-13",11,"album",65
"Marissa Nadler","Strangers","2016-06-03",1,"single",65
"Masta Ace","The Falling Season","2016-05-13",24,"album",65
"Matt Wertz","Gun Shy","2016-05-20",12,"album",65
"Mrs Magician","Bermuda","2016-11-28",1,"single",65
"Mudcrutch","2","2018-01-26",24,"album",65
"Montana of 300","Fire in the Church","2016-05-20",17,"album",65
"OnDeadWaves","OnDeadWaves","2016-05-20",10,"album",65
"Pantha Du Prince","The Triad","2016-05-20",10,"album",65
"Punky Meadows","Fallen Angels","2018-08-03",1,"single",65
"Quaker City Night Hawks","El Astronauta","2016-05-20",9,"album",65
"Rachael Sage","Choreographic","2016-05-20",13,"album",65
"Richard Ashcroft","These People","2008-03-11",14,"album",65
"Saosin","Along the Shadow","2016-05-20",13,"album",65
"Slushii","Brain Freeze","2016-05-20",7,"album",65
"Tiny Moving Parts","Celebrate","2013-03-22",36,"compilation",65
"Webbie","Savage Life V","2016-05-20",15,"album",65
"Yuna","Chapters","2016-05-20",13,"album",65
"Ziggy Marley","Ziggy Marley","2006-07-02",15,"album",65
"Zo!","SkyBreak","2016-05-20",10,"album",65
"Kyary Pamyu Pamyu","KPP Best","2016-05-25",24,"album",65
"Story Untold","Story Untold EP","2015-05-01",4,"single",65
"Rocko","Wordplay 2","2016-05-26",15,"album",65
"Albin Lee Meldau","Lovers EP","2001-01-01",4,"single",65
"Architects","All Our Gods Have Abandoned Us","2016-05-27",11,"album",65
"Band of Skulls","By Default","2016-05-27",12,"album",65
"Belbury Poly","New Ways Out","2016-05-27",11,"album",65
"Belly","Another Day In Paradise","2016-05-27",12,"album",65
"Beth Orton","Kidsticks","2016-05-27",10,"album",65
"Birdman & Jacquees","Lost At Sea","2016-06-03",7,"album",65
"Blueprint","Vigilante Justice","2003-01-01",14,"album",65
"Catfish and the Bottlemen","The Ride","1984-07-27",63,"album",65
"Cory Kent White","Long Way (EP)","2006-01-01",5,"single",65
"Death Angel","The Evil Divide","2015-05-27",10,"album",65
"Dierks Bentley","Black","2018-09-14",14,"album",65
"Flume","Skin","2016-05-27",16,"album",65
"Fifth Harmony","7/27","2017-01-18",13,"album",65
"Fusion","Genesis EP","2018-10-26",6,"single",65
"Idris Ackamoor & The Pyramids","We Be All Africans","2016-05-27",7,"album",65
"Gold Panda","Good Luck and Do Your Best","2016-05-27",11,"album",65
"JC Flowers","Driving Excitement and the Pleasure of Ownership","2016-05-27",12,"album",65
"Joey Purp","iiiDrops","2017-05-12",11,"album",65
"Kacy & Clayton","Strange Country","2016-05-06",10,"album",65
"Kevin Gates","Murder For Hire 2","2016-01-27",8,"album",65
"Kristin Kontrol","X-Communicate","2016-05-27",10,"album",65
"Lacuna Coil","Delirium","2015-11-13",23,"album",65
"Lone","Levitate","2017-07-21",1,"single",65
"Mammal Hands","Floa","2016-05-27",9,"album",65
"Miles Davis & Robert Glasper – Everything’s Beautiful – 4/12",NA,"1996-01-01",13,"album",65
"Ministry of Sound","Chilled Electronic 80s","2013-01-12",40,"compilation",65
"Moments Till Fall","Truth Favors The Brave","2016-05-27",9,"album",65
"Real Friends","The Home Inside My Head","2016-05-27",12,"album",65
"RAMIREZ","Paradise Lost","2017-02-03",12,"album",65
"Ro James","ELDORADO","2017-03-29",13,"album",65
"Sauce Walka","Holy Sauce","2016-05-27",18,"album",65
"Space Dimension Controller","Orange Melamine","2016-05-27",13,"album",65
"Tony Joe White","Rain Crow","2016-05-27",9,"album",65
"Vinnie Caruana","Survivor's Guilt","2017-08-02",12,"album",65
"The Monkees","Good Times!","2012-01-01",11,"album",65
"Thrice","To Be Everywhere Is to Be Nowhere","2016-05-27",11,"album",65
"Arthur Beatrice","Keeping the Peace","2016-04-01",10,"album",65
"9th Wonder","ZION","2013-01-01",18,"album",65
"Mark Battles","Before the Deal","2016-05-31",13,"album",65
"ALA.NI","You & I","2018-10-25",1,"single",65
"Alyss","Answers (EP)","2018-05-18",4,"single",65
"Fatherson","Open Book","2014-09-02",19,"album",65
"Naomi Pilgrim","Sink Like a Stone (EP)","2016-06-03",3,"single",65
"A. Chal","Welcome to Gazi","2016-06-03",10,"album",65
"Above & Beyond","Acoustic II","2018-08-31",18,"album",65
"Amber Arcades","Fading Lines","2016-06-03",10,"album",65
"Anahí","Inesperado","2016-06-03",12,"album",65
"Banta","Dark Charms","2016-06-03",12,"album",65
"Beartooth","Aggressive","2016-06-03",12,"album",65
"Brennan Heart","I Am Hardstyle","2016-06-03",20,"album",65
"BrvndonP","BrvndonP","2016-06-03",16,"album",65
"Bugzy Malone","Facing Time","2016-06-03",8,"album",65
"Cage9","Illuminator","2011-01-28",11,"album",65
"Cameron Carpenter","All You Need Is Bach","2016-06-03",20,"album",65
"Candlemass","Death Thy Lover","2016-05-06",1,"single",65
"Cat's Eyes","Treasure House","2016-06-03",11,"album",65
"Cheyenne Jackson","Renaissance","2016-03-25",12,"album",65
"Combichrist","This Is Where Death Begins","2016-06-03",15,"album",65
"Craig Morgan","A Whole Lot More to Me","2016-06-03",12,"album",65
"Da'T.R.U.T.H.","It's Complicated","2018-03-13",4,"single",65
"Dan + Shay","Obsessed","2016-06-03",10,"album",65
"Dan Reed Network","Fight Another Day","2016-06-03",13,"album",65
"Dark Funeral","Where Shadows Forever Reign","2016-06-03",9,"album",65
"David Trull","Coin Toss","2017-05-26",11,"album",65
"Dexys","Let the Record Show: Dexys Do Irish and  Country Soul","2016-06-03",12,"album",65
"Volbeat","Seal the Deal & Let's Boogie","2016-06-03",13,"album",65
"Whitney","Light Upon the Lake","2016-06-03",10,"album",65
"William Bell","This Is Where I Live","2016-06-03",12,"album",65
"William Tyler","Modern Country","2016-06-03",7,"album",65
"Withem","The Unforgiving Road","2016-06-03",11,"album",65
"Xenia Rubinos","Black Terry Cat","2016-06-03",14,"album",65
"Young Moon","Colt","2014-07-01",12,"album",65
"NateWantsToBattle","Genesis","2016-03-25",12,"album",65
"Wye Oak","Tween","2016-06-09",8,"album",65
"London Grammar","Truth Is a Beautiful Thing","2017-06-09",18,"album",65
"AD & Sorry Jay Nari","By The Way","2002-07-09",18,"album",65
"Alexis Taylor","Piano","2016-07-31",14,"compilation",65
"Allen Toussaint","American Tunes","2016-06-10",14,"album",65
"Another Lost Year","Alien Architect","2016-06-10",12,"album",65
"Apathy","Handshakes With Snakes","2016-06-10",13,"album",65
"Arthur Wimble","Hearts EP","2013-11-18",4,"single",65
"Audion","Alpha","2011-03-04",24,"album",65
"Augustines","This Is Your Life","2014-03-31",15,"compilation",65
"Band of Horses","Why Are You OK","2016-06-10",12,"album",65
"Beverley Knight","Soulsville","2010-11-02",14,"album",65
"Big Deal","Say Yes","2017-06-02",12,"album",65
"Brandy Clark","Big Day In a Small Town","2016-06-10",11,"album",65
"Brigid Mae Power","Brigid Mae Power","2018-02-09",10,"album",65
"Clarke Hartnoll","2Square","2016-06-10",8,"album",65
"Cleopold","Altitude & Oxygen EP","2018-09-07",11,"album",65
"Colvin & Earle","Colvin & Earle","1996-09-26",12,"album",65
"Dani Siciliano","Dani Siciliano","2004-01-26",11,"album",65
"Dan Lissvik","Midnight","2013-11-25",18,"album",65
"D.R.I","But Wait... There's More!","2016-06-10",5,"single",65
"Fitz & The Tantrums","Fitz & The Tantrums","2017-07-24",14,"album",65
"Flamingods","Majesty","2010-10-11",3,"single",65
"Frankie Ballard","El Rio","2016-06-10",11,"album",65
"Garbage","Strange Little Birds","2016-06-03",11,"album",65
"Insomniac Records","EDC Las Vegas 2016","2016-06-10",24,"compilation",65
"Johnny Lloyd","Dreamland (EP)","2016-06-10",4,"single",65
"Jon Bellion","The Human Condition","2016-06-10",14,"album",65
"Kaleo","A / B","2016-06-10",10,"album",65
"Kasper Bjørke","Fountain of Youth","2014-06-10",10,"album",65
"KONGOS","Egomaniac","2016-06-10",13,"album",65
"Kraak & Smaak","Juicy Fruit","2016-06-10",13,"album",65
"Letlive.","If I'm The Devil...","2016-06-10",11,"album",65
"Little Big Town","Wanderlust","2017-02-03",6,"single",65
"Marquis Hawkes","Social Housing","2016-06-10",12,"album",65
"Nahko and Medicine for the People","HOKA","2016-06-10",19,"album",65
"Mc Kresha & Lyrical Son","Rapsodet N'rap T'sotit","2016-06-10",28,"album",65
"Nick Jonas","Last Year Was Complicated","2016-06-10",12,"album",65
"Paul Draper","EP One","2016-03-25",5,"single",65
"Peter Bjorn and John"," Breakin' Point","2016-06-10",12,"album",65
"Plaid","The Digging Remedy","2016-06-10",12,"album",65
"Rage","The Devil Strikes Again","2016-06-10",16,"album",65
"Raime","Tooth","1984-09-11",10,"album",65
"Rick Astley","50","2003-01-01",19,"album",65
"Rob Kelly","Kel Jefe","2016-06-10",11,"album",65
"Rival Sons","Hollow Bones","2016-06-10",9,"album",65
"Samaris","Black Lights","2018-07-06",1,"single",65
"Scorpion Child","Acid Roulette","2016-06-10",13,"album",65
"Spring King","Tell Me If You Like To","2016-06-10",10,"album",65
"Still Parade","Concrete Vision","2016-06-10",10,"album",65
"Sumac","What One Becomes","2016-06-10",10,"album",65
"The Breath","Carry Your Kin","2016-07-08",9,"album",65
"The Invisible","Patience","2007-09-25",12,"album",65
"The Shelters","The Shelters","2016-06-10",13,"album",65
"The Temper Trap","Thick as Thieves","2016-06-10",14,"album",65
"Tom Odell","Wrong Crowd","2016-06-10",15,"album",65
"Vybz Kartel","King of the Dancehall","2016-06-10",22,"album",65
"Weval","Weval","2016-06-10",12,"album",65
"WOMPS","Our Fertile Forever","2016-06-10",10,"album",65
"Young Chop","King Chop","2018-01-12",12,"album",65
"Famous Dex","Heartbreak Kid","2016-02-04",14,"album",65
"Finding Lucy","The New Normal","2018-09-14",5,"single",65
"Taj Jackson","Tragedy and Triumph","2018-07-10",12,"album",65
"Night Lovell ","Red Teenage Melody","2016-06-14",14,"album",65
"The Low Anthem","eyeland","2016-05-20",11,"album",65
"Anna Sage","Begin Again","2014-07-01",16,"compilation",65
"Avion Roe","In Separation","2008-01-01",11,"album",65
"Bassnectar","Unlimited","2016-06-17",15,"album",65
"Croquet Club","Love Exposure (EP)","2017-11-13",2,"single",65
"Follow My Lead","Spit, Kick, Revolt.","2016-06-17",11,"album",65
"Frans Bak","Sounds of North","2012-02-27",7,"album",65
"Gojira","Magma","2016-06-17",10,"album",65
"Hail the Sun","Culture Scars","2016-07-01",10,"album",65
"I See Stars","Treehouse","2016-06-17",12,"album",65
"Ingrid","Trill Feels EP","2016-06-17",7,"single",65
"James Dupré","Stoned to Death","2016-06-17",10,"album",65
"Jake Bugg","On My One","2016-06-17",11,"album",65
"Jon Pardi","California Sunrise","2016-05-13",12,"album",65
"Game","Streets of Compton","2016-06-17",11,"album",65
"Karl Wolf","The Export, Vol. 1","2016-06-17",7,"album",65
"Kutiman","6AM","2016-11-04",3,"single",65
"Ramin Djawadi","Game of Thrones: Season 6 (Music from the HBO® Series)","2016-06-24",26,"album",65
"Reverieme","Straw Woman","2016-06-24",12,"album",65
"Rexx Life Raj","Father Figure","2017-11-17",15,"album",65
"Rich Robinson","Flux","1971-09-09",10,"album",65
"RiFF RAFF","Peach Panther","2016-06-24",12,"album",65
"River Tiber","Indigo","2018-08-31",11,"album",65
"Royal Southern Brotherhood","The Royal Gospel","2016-06-24",12,"album",65
"Sam Bush","Storyman","2016-06-24",11,"album",65
"Steady Holiday","Under the Influence","2018-10-22",1,"single",65
"Stuck Mojo","Here Come the Infidels","2016-06-24",11,"album",65
"The Avett Brothers","True Sadness","2016-06-24",12,"album",65
"The Browning","Isolation","2018-04-06",15,"album",65
"The Explorers Club","Together","2016-04-08",12,"album",65
"The Felice Brothers","Life in the Dark","2016-06-24",9,"album",65
"The Interrupters","Say It Out Loud","2016-06-24",14,"album",65
"The Mystery Lights","The Mystery Lights","2016-06-24",11,"album",65
"The Rippingtons and Russ Freeman","True Stories","2005-11-08",10,"album",65
"Timothy Abbott","I Live to Worship You","2016-12-05",1,"single",65
"Ugly Heroes","Everything In Between","2007-02-27",10,"album",65
"Whitechapel","Mark of the Blade","2016-06-24",11,"album",65
"Why We Run","Holograms","2015-10-23",13,"compilation",65
"William Murphy","Demonstrate","2016-06-24",17,"album",65
"Yung Simmie","Simmie Season","2016-07-01",9,"album",65
"Brian Hyphen","Dice","2017-03-17",1,"single",65
"Curren$y","Stoned On Ocean","2016-06-27",7,"album",65
"RAMIREZ","Lust & Sensations II","2017-07-21",16,"album",65
"Casper & B.","Low Battery Summer","2016-06-28",10,"album",65
"Area 11","Modern Synthesis","2016-07-01",11,"album",65
"Beyond The Wizards Sleeve","The Soft Bounce","2016-07-01",11,"album",65
"Stephen Steinbrink","Anagrams","2016-06-24",12,"album",65
"American Authors","What We Live For","2016-07-01",12,"album",65
"Bat For Lashes","The Bride","1987-09-15",12,"album",65
"Blink-182","California","2016-05-13",12,"album",65
"Blood Orange","FREETOWN SOUND","2016-06-28",17,"album",65
"Cdot Honcho","Honcho 2","2018-10-08",22,"album",65
"Chelsea Grin","Self Inflicted","2017-01-27",13,"album",65
"Christian Akridge","Hope EP","2017-02-03",5,"single",65
"Death Team","Death Team Loves You","2016-09-20",5,"single",65
"Delta Goodrem","Wings of the Wild","2016-07-01",13,"album",65
"Dependence","Remembering Everything","2016-07-01",11,"album",65
"Dorrough Music","Six 3","2005-09-27",21,"album",65
"Dr Meaker","Dirt & Soul","1992-01-01",13,"album",65
"Durand Jones & The Indications","Durand Jones & The Indications","2018-03-16",18,"album",65
"Fates Warning","Theories of Flight","2016-07-01",8,"album",65
"Fyfe"," Stronger EP ","2016-07-01",4,"single",65
"Grace","FMA","2016-07-01",14,"album",65
"House of Heroes","Colors","2015-05-18",11,"album",65
"Jacob Collier","In My Room","2016-07-01",11,"album",65
"Jerry Goodman","Violin Fantasy","2015-09-25",8,"album",65
"Kamau","A Gorgeous Fortune EP","2016-07-01",6,"single",65
"Logic","Bobby Tarantino","2018-03-09",13,"album",65
"MAGIC!","Primary Colours","2016-11-09",10,"album",65
"Majestic Casual","Chapter 3","2017-10-06",3,"single",65
"Maxwell","blackSUMMERS'night","2009-07-07",9,"album",65
"Metronomy","Summer 08","2016-07-01",10,"album",65
"Midnight","0:00 EP","2014-09-22",5,"single",65
"Mike Zombie","Humble Genius","2016-07-01",14,"album",65
"Nicola Benedetti","Shostakovich: Violin Concerto No. 1","2016-07-01",8,"album",65
"Reef the Lost Cauze & Bear-One","Furious Styles","2016-07-01",13,"album",65
"Roy Woods","Waking at Dawn","2016-07-01",10,"album",65
"Save The Clock Tower","The Familiar // The Decay","2016-07-01",10,"album",65
"Sara Watkins","Young In All the Wrong Ways","2016-07-01",10,"album",65
"Secret Weapons","Secret Weapons","2017-08-18",13,"album",65
"Silent Planet","Everything Was Sound","2016-07-01",13,"album",65
"Snoop Dogg","Cool Aid","2017-09-01",10,"album",65
"Terry","Terry HQ","2016-07-01",10,"album",65
"The Impossible Gentlemen","Let's Get Deluxe","2005-07-26",30,"album",65
"Thousand Foot Krutch","Exhale","2016-08-22",12,"album",65
"Trae Tha Truth","Another 48 Hours","2016-06-27",11,"album",65
"Rich Forever Music","Rich Forever 2","2018-05-04",1,"single",65
