"artist","album","release_date","tracks","album_type","markets","target"
"Ray Rocket","Do You Wanna Go To Tijuana",2016-04-01,12,"album",65,0
"Robbie Fulks","Upland Stories",2016-04-01,12,"album",65,0
"Sasha","Late Night Tales Presents Sasha: Scene Delete",2016-04-01,22,"album",65,0
"Smile Empty Soul","Shapeshifter EP",2017-06-23,7,"single",65,0
"Teen Suicide","It's the Big Joyous Celebration, Let's Stir the Honeypot",2016-04-01,26,"album",65,0
"Terrace Martin","Velvet Portraits",2016-04-01,14,"album",65,0
"The Algorithm","Brute Force",2016-04-01,10,"album",65,0
"The Heavy","Hurt & The Merciless",2018-10-16,1,"single",65,0
"7Horse","Livin in a Bitch of a World",2016-04-15,10,"album",65,0
"Ace Frehley","Origins, Vol. 1",2016-04-15,12,"album",65,0
"Alessia Cara","Here (The Remixes)",2016-04-15,4,"single",65,0
"All India Radio","The Slow Light",2016-04-15,10,"album",65,0
"Amber Rubarth","Scribbled Folk Symphonies",2016-04-15,13,"album",65,0
"Bear Hands","You'll Pay for This",2016-04-15,12,"album",65,0
"Blaqk Audio","Material",2015-06-23,13,"album",65,0
"Boosie Badazz & C-Murder","Penitentiary Chances",2016-04-15,20,"album",65,0
"Boyce Avenue","Road Less Traveled",2017-01-27,12,"album",65,0
"Cate Le Bon","Crab Day",2016-04-15,10,"album",65,0
"Cellars","Phases",2017-11-10,12,"album",65,1
"Charly Cole","Gotcha",2017-12-24,1,"single",65,1
"Christopher","Closer",2016-07-29,1,"single",65,0
"Clairy Browne","Pool",2016-05-08,11,"album",65,0
"Crematory","Monument",2010-08-16,11,"album",65,0
"Daria","Strawberry Fields Forever",2010-03-19,1,"single",65,0
"Del Barber & The No Regretzkys","The Puck Drops Here",2016-04-15,14,"album",65,0
"Del McCoury Band","Del & Woody",2017-07-21,16,"album",65,0
"Doll Skin","In Your Face (Again)",2016-04-15,7,"album",65,0
"Dynazty","Titanic Mass",2016-04-15,13,"album",65,0
"East of Venus","Memory Box",2017-02-25,20,"album",65,1
"Edward Sharpe & The Magnetic Zeros","PersonA",2016-06-29,13,"album",65,0
"Eric Lindell","Matters of the Heart",2016-04-15,16,"album",65,0
"Eskimeaux","Year of the Rabbit EP",2003-01-01,4,"single",65,1
"Evans Blue","Letters from the Dead",2016-04-15,13,"album",65,0
"Frisco","System Killer",2016-04-17,15,"album",65,0
"Golden State Lone Star Blues Revue","Golden State Lone Star Blues Revue",2016-04-15,14,"album",65,0
"Grafh","Pain Killers: Reloaded",2016-04-15,18,"album",65,0
"Graham Nash","This Path Tonight",2016-04-15,10,"album",65,0
"Grand Puba","Black from the Future",2016-04-15,12,"album",65,0
"Har Mar Superstar","Best Summer Ever",2016-04-15,10,"album",65,0
"Herrick","Cottonfields",2016-04-15,10,"album",65,0
"Hiatus Kaiyote","Recalibrations, Vol. 1",2016-05-16,4,"single",65,1
"J Dilla","The Diary",2003-12-02,15,"album",65,0
"Javier Colon","Gravity",2018-06-29,11,"album",65,0
"Joe Mullins & The Radio Ramblers","Sacred Memories",2016-04-15,12,"album",65,0
"John Carpenter","Lost Themes II",2016-04-15,12,"album",65,0
"Keb' Mo'","That Hot Pink Blues Album (Live)",2016-04-15,16,"album",65,0
"Kevin Morby","Singing Saw",2016-04-15,9,"album",65,0
"Lance Lopez","Live in NYC",2014-10-07,13,"album",65,0
"LANco","Extended Play",2013-06-18,18,"album",65,0
"Lil Uzi Vert","Lil Uzi Vert Vs. The World",2016-05-27,9,"album",65,0
"Lush","Blind Spot EP",2012-10-08,5,"single",65,1
"Mantar","Ode to the Flame",2016-04-15,10,"album",65,0
"Marie Osmond","Music Is Medicine",2016-04-01,1,"single",65,0
"MIK","EM3",2005-01-01,12,"album",65,0
"Mistah F.A.B. & DJ Fresh","The Tonite Show With Mistah F.A.B., Pt. 3: Live From 45",2016-04-15,11,"album",65,0
"Mr. Lif","Don't Look Down",2015-03-17,1,"single",65,1
"Musiq Soulchild","Life on Earth",2016-04-15,12,"album",65,0
"Otep","Generation Doom",2016-04-15,15,"album",65,0
"Paul Young","Good Thing",2018-05-04,10,"album",65,0
"PJ Harvey","The Hope Six Demolition Project",2016-04-15,11,"album",65,0
"Rarity","I Couldn't Be Weaker",2016-04-15,10,"album",65,0
"Royce 5'9""","Layers",2016-11-04,12,"album",65,1
"Sam Beam & Jesca Hoop","Love Letter for Fire",2016-04-15,13,"album",65,0
"Santana","Santana IV",2016-02-05,16,"album",65,0
"Shiraz Lane","For Crying out Loud",2017-05-05,27,"album",65,0
"Snakehips","All My Friends EP",2016-04-15,4,"single",65,0
"Sturgill Simpson","A Sailor's Guide to Earth",2016-04-15,9,"album",65,0
"Surgical Meth Machine","Surgical Meth Machine",2016-04-15,12,"album",65,0
"The Coathangers","Nosebleed Weekend",2016-04-15,13,"album",65,0
"The Dandy Warhols","Distortland",2016-04-08,10,"album",65,0
"The Defiants","The Defiants",2016-04-15,12,"album",65,0
"The Honeydogs","Love & Cannibalism",2018-08-24,26,"album",65,0
"The Polish Ambassador","Dreaming of an Old Tomorrow",2016-04-15,14,"album",65,0
"Wild Belle","Dreamland",2016-12-16,13,"album",65,0
"Levitation Room","Ethos",2016-03-19,10,"album",65,0
"Rich The Kid","Trap Talk",2010-09-20,12,"album",65,0
"DJ Quik & Problem","Rosecrans",2017-04-20,12,"album",65,0
"Helicopter Showdown","There the Vultures Will Gather",2016-04-20,10,"album",65,0
"Justin Martin","Hello Clouds",2016-04-20,13,"album",65,0
"Verbal Kent & !llmind","Weight Of Your World",2012-12-14,5,"single",65,0
"Aborted","Retrogore",2016-04-22,12,"album",65,0
"Andy Stott","Too Many Voices",2016-04-22,9,"album",65,0
"A$AP Ferg","Always Strive and Prosper",2016-06-22,19,"album",65,1
"Bankroll Mafia","Bankroll Mafia",2016-04-22,17,"album",65,0
"Big Black Delta","Trágame Tierra",2016-04-29,12,"album",65,0
"Blue October","Home",2018-03-23,12,"album",65,0
"Calyx & TeeBee","1 x 1",2006-06-25,12,"album",65,0
"Candlebox","Disappearing in Airports",2016-04-22,11,"album",65,0
"Carlos Niño & Friends","Flutes, Echoes, It's All Happening",2016-04-22,9,"album",65,0
"Dami Im","Classic Carpenters",2016-04-22,11,"album",65,0
"Darkness Divided","Darkness Divided",2016-04-22,11,"album",65,0
"Eths","Ankaa",2016-04-22,12,"album",65,0
"Fort Frances","Alio",2016-04-22,13,"album",65,0
"Frution","Labor of Love",2016-04-22,10,"album",65,0
"Guided By Voices","Please Be Honest",2016-04-22,15,"album",65,0
"Halsey","Complimentary Colors",2018-10-12,4,"single",65,0
"Incite","Oppression",2017-10-07,10,"album",65,0
"Sixx:A.M.","Prayers for the Damned",2016-04-29,11,"album",65,0
"Snarky Puppy","Culcha Vulcha",2016-04-29,10,"album",65,0
"Stimming","Alpe Lusia",2016-04-29,10,"album",65,0
"Sugar Blue","Voyage",2015-01-20,12,"album",65,0
"Tell the Wolves I'm Home","Persevere (EP)",2014-12-11,2,"single",65,0
"The Bo-Keys","Heartaches by the Number",2005-06-20,11,"album",65,1
"The Boxer Rebellion","Ocean by Ocean",2016-04-29,10,"album",65,0
"The Jayhawks","Paging Mr. Proust",2016-04-29,12,"album",65,0
"The Posies","Solid States",2016-05-20,12,"album",65,0
"Travis","Everything at Once",2018-07-06,5,"single",65,0
"Tremonti","Dust",2018-08-20,15,"album",65,0
"Various","An American Victory (Studio Cast Recording)",2016-04-22,21,"compilation",65,0
"JT Machinima","Power-Up",2016-04-30,18,"album",65,0
"Kyle Craft","Dolls of Highland",2016-04-29,12,"album",65,0
"Meyhem Lauren","Piatto D'Oro",2017-01-31,15,"album",65,0
"ScienZe","Good Food",2018-08-17,1,"single",65,1
"Michael Longoria","Broadway Brick By Brick",2016-05-05,13,"album",65,0
"Trouble","Skoobzilla",2016-05-05,14,"album",65,0
"Andy Black","The Shadow Side",2016-03-18,13,"album",65,0
"ANOHNI","HOPELESSNESS",2016-05-06,11,"album",65,0
"Bethany Becker","I Want Love",2016-04-29,14,"album",65,0
"Beverly","The Blue Swell",2016-05-06,10,"album",65,0
"Chris Cohen","As If Apart",2016-05-06,10,"album",65,0
"Cole Swindell","You Should Be Here",2016-05-06,12,"album",65,0
"Cyndi Lauper","Detour",2018-07-20,28,"album",65,1
"Death Grips","Bottomless Pit",2016-05-06,13,"album",65,0
"Elizabeth Joy Roe","Field: Complete Nocturnes",2016-05-01,18,"album",65,0
"Goo Goo Dolls","Boxes",2016-05-06,11,"album",65,0
"Gregory Porter","Take Me To The Alley",2016-05-06,14,"album",65,0
"Homeboy Sandman","Kindness for Weakness",2016-05-06,14,"album",65,0
"James Blake","The Colour In Anything",2016-05-05,17,"album",65,0
"James McCartney","The Blackberry Train",2016-05-06,11,"album",65,0
"Jaye Bartell","Light Enough",2016-04-29,12,"album",65,0
"JD Eicher","The Middle Distance",2016-05-06,10,"album",65,0
"Jean Michel Jarre","Electronica 2: The Heart of Noise",2016-05-06,18,"album",65,0
"Julianna Barwick","Will",2018-02-02,13,"album",65,0
"Keith Urban","Ripcord",2016-05-06,13,"album",65,0
"The Living End","Shift",2017-05-05,12,"album",65,0
"LUH","Spiritual Songs for Lovers to Sing",2016-05-06,12,"album",65,0
"Mary Chapin Carpenter","The Things That We Are Made Of",2016-05-06,13,"album",65,0
"Mike Posner","At Night, Alone",2016-05-06,18,"album",65,0
"Moon Taxi","New Year's Eve 2015",2016-01-01,10,"album",65,0
"Moreland & Arbuckle","Promised Land or Bust",2016-05-06,11,"album",65,0
"Mountain Heart","Blue Skies",2015-12-18,4,"single",65,1
"MUNA","The Loudspeaker EP",2016-05-06,4,"single",65,0
"Neonlight","My Galactic Tale",2016-05-06,16,"album",65,0
"Perturbator","The Uncanny Valley",2016-05-06,13,"album",65,0
"Rawtekk","Here's to Them",2016-05-06,13,"album",65,0
"Rittz","Top of the Line",2016-05-06,24,"album",65,0
"Rooney","Washed Away",2015-11-10,1,"single",65,0
"RY X","Dawn",2017-09-07,1,"single",65,1
"Seratones","Get Gone",2017-07-07,1,"single",65,0
"Skepta","Konnichiwa",2016-05-06,12,"album",65,0
"Spookyland","Beauty Already Beautiful",2016-05-06,11,"album",65,0
"Thalía","Latina",2016-05-06,13,"album",65,0
"The Rides","Pierced Arrow",2016-01-01,10,"album",65,0
"Theo Croker","Escape Velocity",2017-04-28,13,"album",65,0
"Thomas Cohen","Bloom Forever",2016-05-06,9,"album",65,0
"Tim Bowman Jr","Listen",2014-11-24,18,"album",65,0
"Tourist","U",2015-10-02,14,"album",65,1
"Vektor","Terminal Redux",2016-05-06,10,"album",65,0
"VÉRITÉ","Living EP",2013-12-02,5,"single",65,0
"Vesuvius","My Place of Solace and Rest",2016-05-06,8,"album",65,0
"Victor Love","Technomancy",2016-05-06,10,"album",65,0
"Watercolor Werewolf","AM Nights",2017-08-25,1,"single",65,1
"White Lung","Paradise",2015-02-24,12,"album",65,0
"Yoni & Geti","Testarossa",2016-05-06,14,"album",65,0
"Radiohead","A Moon Shaped Pool",2016-05-08,11,"album",65,0
"DMK","DMK EP",2016-05-11,6,"single",65,1
"3OH!3","Night Sports",2016-05-13,11,"album",65,1
"Adia Victoria","Beyond the Bloodhounds",2016-05-13,12,"album",65,1
"American Authors","What We Live For",2016-07-01,12,"album",65,0
"Arbor Labor Union","I Hear You",2017-06-21,1,"single",65,0
"Avatar","Feathers & Flesh",2012-08-28,12,"album",65,0
"Bahari","Dancing on the Sun",2016-05-13,5,"single",65,1
"Bobby Brackins","To Live For",2015-10-23,10,"album",65,0
"Brodka","Clashes",2016-05-13,12,"album",65,1
"Chance The Rapper","Coloring Book",2016-05-27,14,"album",65,0
"Cold Collective","Bachelorette Party",2016-05-13,10,"album",65,1
"Corinne Bailey Rae","The Heart Speaks in Whispers",2016-05-13,16,"album",65,1
"Daily Grind","I Did Those Things",2016-05-13,11,"album",65,1
"Dance Gavin Dance","Tree City Sessions",2016-05-13,12,"album",65,1
"Darrell Scott","Couchville Sessions",2016-05-13,14,"album",65,1
"David Bazan","Blanco",2018-07-12,1,"single",65,0
"DevilDriver","Trust No One",2018-06-13,7,"album",65,0
"Eagulls","Ullages",2016-05-13,11,"album",65,1
"Marissa Nadler","Strangers",2016-06-03,1,"single",65,0
"Masta Ace","The Falling Season",2016-05-13,24,"album",65,1
"Matt Wertz","Gun Shy",2016-05-20,12,"album",65,0
"Mrs Magician","Bermuda",2016-11-28,1,"single",65,0
"Mudcrutch","2",2018-01-26,24,"album",65,0
"Montana of 300","Fire in the Church",2016-05-20,17,"album",65,0
"OnDeadWaves","OnDeadWaves",2016-05-20,10,"album",65,0
"Pantha Du Prince","The Triad",2016-05-20,10,"album",65,0
"Punky Meadows","Fallen Angels",2018-08-03,1,"single",65,0
"Quaker City Night Hawks","El Astronauta",2016-05-20,9,"album",65,0
"Rachael Sage","Choreographic",2016-05-20,13,"album",65,0
"Richard Ashcroft","These People",2008-03-11,14,"album",65,0
"Saosin","Along the Shadow",2016-05-20,13,"album",65,0
"Slushii","Brain Freeze",2016-05-20,7,"album",65,0
"Tiny Moving Parts","Celebrate",2013-03-22,36,"compilation",65,0
"Webbie","Savage Life V",2016-05-20,15,"album",65,0
"Yuna","Chapters",2016-05-20,13,"album",65,0
"Ziggy Marley","Ziggy Marley",2006-07-02,15,"album",65,0
"Zo!","SkyBreak",2016-05-20,10,"album",65,0
"Kyary Pamyu Pamyu","KPP Best",2016-05-25,24,"album",65,0
"Story Untold","Story Untold EP",2015-05-01,4,"single",65,0
"Rocko","Wordplay 2",2016-05-26,15,"album",65,0
"Architects","All Our Gods Have Abandoned Us",2016-05-27,11,"album",65,0
"Band of Skulls","By Default",2016-05-27,12,"album",65,0
"Belbury Poly","New Ways Out",2016-05-27,11,"album",65,0
"Belly","Another Day In Paradise",2016-05-27,12,"album",65,0
"Beth Orton","Kidsticks",2016-05-27,10,"album",65,0
"Birdman & Jacquees","Lost At Sea",2016-06-03,7,"album",65,0
"Blueprint","Vigilante Justice",2003-01-01,14,"album",65,1
"Cory Kent White","Long Way (EP)",2006-01-01,5,"single",65,0
"Death Angel","The Evil Divide",2015-05-27,10,"album",65,0
"Dierks Bentley","Black",2018-09-14,14,"album",65,1
"Flume","Skin",2016-05-27,16,"album",65,0
"Fifth Harmony","7/27",2017-01-18,13,"album",65,0
"Idris Ackamoor & The Pyramids","We Be All Africans",2016-05-27,7,"album",65,0
"Gold Panda","Good Luck and Do Your Best",2016-05-27,11,"album",65,0
"JC Flowers","Driving Excitement and the Pleasure of Ownership",2016-05-27,12,"album",65,0
"Joey Purp","iiiDrops",2017-05-12,11,"album",65,0
"Kacy & Clayton","Strange Country",2016-05-06,10,"album",65,0
"Kevin Gates","Murder For Hire 2",2016-01-27,8,"album",65,0
"Kristin Kontrol","X-Communicate",2016-05-27,10,"album",65,0
"Lacuna Coil","Delirium",2015-11-13,23,"album",65,0
"Lone","Levitate",2017-07-21,1,"single",65,0
"Mammal Hands","Floa",2016-05-27,9,"album",65,0
"Ministry of Sound","Chilled Electronic 80s",2013-01-12,40,"compilation",65,0
"Moments Till Fall","Truth Favors The Brave",2016-05-27,9,"album",65,0
"Real Friends","The Home Inside My Head",2016-05-27,12,"album",65,0
"RAMIREZ","Paradise Lost",2017-02-03,12,"album",65,0
"Ro James","ELDORADO",2017-03-29,13,"album",65,0
"Sauce Walka","Holy Sauce",2016-05-27,18,"album",65,0
"Space Dimension Controller","Orange Melamine",2016-05-27,13,"album",65,0
"Tony Joe White","Rain Crow",2016-05-27,9,"album",65,0
"Vinnie Caruana","Survivor's Guilt",2017-08-02,12,"album",65,0
"The Monkees","Good Times!",2012-01-01,11,"album",65,0
"Thrice","To Be Everywhere Is to Be Nowhere",2016-05-27,11,"album",65,0
"Arthur Beatrice","Keeping the Peace",2016-04-01,10,"album",65,0
"9th Wonder","ZION",2013-01-01,18,"album",65,0
"Mark Battles","Before the Deal",2016-05-31,13,"album",65,0
"Alyss","Answers (EP)",2018-05-18,4,"single",65,0
"Fatherson","Open Book",2014-09-02,19,"album",65,0
"Naomi Pilgrim","Sink Like a Stone (EP)",2016-06-03,3,"single",65,0
"A. Chal","Welcome to Gazi",2016-06-03,10,"album",65,0
"Above & Beyond","Acoustic II",2018-08-31,18,"album",65,0
"Amber Arcades","Fading Lines",2016-06-03,10,"album",65,0
"Anahí","Inesperado",2016-06-03,12,"album",65,0
"Banta","Dark Charms",2016-06-03,12,"album",65,0
"Beartooth","Aggressive",2016-06-03,12,"album",65,0
"Brennan Heart","I Am Hardstyle",2016-06-03,20,"album",65,0
"BrvndonP","BrvndonP",2016-06-03,16,"album",65,0
"Bugzy Malone","Facing Time",2016-06-03,8,"album",65,0
"Cage9","Illuminator",2011-01-28,11,"album",65,0
"Cameron Carpenter","All You Need Is Bach",2016-06-03,20,"album",65,0
"Candlemass","Death Thy Lover",2016-05-06,1,"single",65,0
"Cat's Eyes","Treasure House",2016-06-03,11,"album",65,0
"Combichrist","This Is Where Death Begins",2016-06-03,15,"album",65,0
"Craig Morgan","A Whole Lot More to Me",2016-06-03,12,"album",65,0
"Da'T.R.U.T.H.","It's Complicated",2018-03-13,4,"single",65,0
"Dan + Shay","Obsessed",2016-06-03,10,"album",65,0
"Dan Reed Network","Fight Another Day",2016-06-03,13,"album",65,0
"Dark Funeral","Where Shadows Forever Reign",2016-06-03,9,"album",65,0
"David Trull","Coin Toss",2017-05-26,11,"album",65,0
"Dexys","Let the Record Show: Dexys Do Irish and  Country Soul",2016-06-03,12,"album",65,0
"Volbeat","Seal the Deal & Let's Boogie",2016-06-03,13,"album",65,0
"Whitney","Light Upon the Lake",2016-06-03,10,"album",65,0
"William Bell","This Is Where I Live",2016-06-03,12,"album",65,0
"William Tyler","Modern Country",2016-06-03,7,"album",65,0
"Withem","The Unforgiving Road",2016-06-03,11,"album",65,0
"Xenia Rubinos","Black Terry Cat",2016-06-03,14,"album",65,0
"Young Moon","Colt",2014-07-01,12,"album",65,0
"Wye Oak","Tween",2016-06-09,8,"album",65,0
"London Grammar","Truth Is a Beautiful Thing",2017-06-09,18,"album",65,1
"Alexis Taylor","Piano",2016-07-31,14,"compilation",65,0
"Allen Toussaint","American Tunes",2016-06-10,14,"album",65,0
"Another Lost Year","Alien Architect",2016-06-10,12,"album",65,0
"Apathy","Handshakes With Snakes",2016-06-10,13,"album",65,0
"Arthur Wimble","Hearts EP",2013-11-18,4,"single",65,0
"Audion","Alpha",2011-03-04,24,"album",65,0
"Augustines","This Is Your Life",2014-03-31,15,"compilation",65,0
"Band of Horses","Why Are You OK",2016-06-10,12,"album",65,0
"Beverley Knight","Soulsville",2010-11-02,14,"album",65,0
"Big Deal","Say Yes",2017-06-02,12,"album",65,0
"Brandy Clark","Big Day In a Small Town",2016-06-10,11,"album",65,0
"Brigid Mae Power","Brigid Mae Power",2018-02-09,10,"album",65,0
"Clarke Hartnoll","2Square",2016-06-10,8,"album",65,0
"Cleopold","Altitude & Oxygen EP",2018-09-07,11,"album",65,0
"Dani Siciliano","Dani Siciliano",2004-01-26,11,"album",65,0
"Dan Lissvik","Midnight",2013-11-25,18,"album",65,0
"D.R.I","But Wait... There's More!",2016-06-10,5,"single",65,0
"Fitz & The Tantrums","Fitz & The Tantrums",2017-07-24,14,"album",65,0
"Flamingods","Majesty",2010-10-11,3,"single",65,0
"Frankie Ballard","El Rio",2016-06-10,11,"album",65,0
"Garbage","Strange Little Birds",2016-06-03,11,"album",65,0
"Insomniac Records","EDC Las Vegas 2016",2016-06-10,24,"compilation",65,0
"Johnny Lloyd","Dreamland (EP)",2016-06-10,4,"single",65,0
"Jon Bellion","The Human Condition",2016-06-10,14,"album",65,0
"Kaleo","A / B",2016-06-10,10,"album",65,0
"Kasper Bjørke","Fountain of Youth",2014-06-10,10,"album",65,0
"KONGOS","Egomaniac",2016-06-10,13,"album",65,0
"Kraak & Smaak","Juicy Fruit",2016-06-10,13,"album",65,0
"Letlive.","If I'm The Devil...",2016-06-10,11,"album",65,0
"Little Big Town","Wanderlust",2017-02-03,6,"single",65,0
"Marquis Hawkes","Social Housing",2016-06-10,12,"album",65,0
"Nahko and Medicine for the People","HOKA",2016-06-10,19,"album",65,0
"Mc Kresha & Lyrical Son","Rapsodet N'rap T'sotit",2016-06-10,28,"album",65,0
"Nick Jonas","Last Year Was Complicated",2016-06-10,12,"album",65,0
"Peter Bjorn and John"," Breakin' Point",2016-06-10,12,"album",65,0
"Plaid","The Digging Remedy",2016-06-10,12,"album",65,0
"Rage","The Devil Strikes Again",2016-06-10,16,"album",65,0
"Rick Astley","50",2003-01-01,19,"album",65,1
"Rob Kelly","Kel Jefe",2016-06-10,11,"album",65,0
"Rival Sons","Hollow Bones",2016-06-10,9,"album",65,0
"Samaris","Black Lights",2018-07-06,1,"single",65,0
"Scorpion Child","Acid Roulette",2016-06-10,13,"album",65,0
"Spring King","Tell Me If You Like To",2016-06-10,10,"album",65,0
"Still Parade","Concrete Vision",2016-06-10,10,"album",65,0
"Sumac","What One Becomes",2016-06-10,10,"album",65,0
"The Breath","Carry Your Kin",2016-07-08,9,"album",65,0
"The Invisible","Patience",2007-09-25,12,"album",65,0
"The Shelters","The Shelters",2016-06-10,13,"album",65,0
"The Temper Trap","Thick as Thieves",2016-06-10,14,"album",65,0
"Tom Odell","Wrong Crowd",2016-06-10,15,"album",65,0
"Vybz Kartel","King of the Dancehall",2016-06-10,22,"album",65,0
"Weval","Weval",2016-06-10,12,"album",65,0
"WOMPS","Our Fertile Forever",2016-06-10,10,"album",65,0
"Young Chop","King Chop",2018-01-12,12,"album",65,0
"Famous Dex","Heartbreak Kid",2016-02-04,14,"album",65,0
"Finding Lucy","The New Normal",2018-09-14,5,"single",65,1
"Taj Jackson","Tragedy and Triumph",2018-07-10,12,"album",65,0
"Night Lovell ","Red Teenage Melody",2016-06-14,14,"album",65,1
"The Low Anthem","eyeland",2016-05-20,11,"album",65,0
"Anna Sage","Begin Again",2014-07-01,16,"compilation",65,0
"Avion Roe","In Separation",2008-01-01,11,"album",65,0
"Bassnectar","Unlimited",2016-06-17,15,"album",65,0
"Croquet Club","Love Exposure (EP)",2017-11-13,2,"single",65,1
"Follow My Lead","Spit, Kick, Revolt.",2016-06-17,11,"album",65,0
"Frans Bak","Sounds of North",2012-02-27,7,"album",65,0
"Gojira","Magma",2016-06-17,10,"album",65,0
"Hail the Sun","Culture Scars",2016-07-01,10,"album",65,0
"I See Stars","Treehouse",2016-06-17,12,"album",65,0
"Ingrid","Trill Feels EP",2016-06-17,7,"single",65,0
"James Dupré","Stoned to Death",2016-06-17,10,"album",65,0
"Jake Bugg","On My One",2016-06-17,11,"album",65,0
"Jon Pardi","California Sunrise",2016-05-13,12,"album",65,1
"Game","Streets of Compton",2016-06-17,11,"album",65,0
"Karl Wolf","The Export, Vol. 1",2016-06-17,7,"album",65,0
"Kutiman","6AM",2016-11-04,3,"single",65,1
"Ramin Djawadi","Game of Thrones: Season 6 (Music from the HBO® Series)",2016-06-24,26,"album",65,1
"Reverieme","Straw Woman",2016-06-24,12,"album",65,1
"Rexx Life Raj","Father Figure",2017-11-17,15,"album",65,0
"RiFF RAFF","Peach Panther",2016-06-24,12,"album",65,1
"River Tiber","Indigo",2018-08-31,11,"album",65,0
"Royal Southern Brotherhood","The Royal Gospel",2016-06-24,12,"album",65,1
"Sam Bush","Storyman",2016-06-24,11,"album",65,1
"Stuck Mojo","Here Come the Infidels",2016-06-24,11,"album",65,1
"The Avett Brothers","True Sadness",2016-06-24,12,"album",65,1
"The Browning","Isolation",2018-04-06,15,"album",65,0
"The Explorers Club","Together",2016-04-08,12,"album",65,0
"The Felice Brothers","Life in the Dark",2016-06-24,9,"album",65,1
"The Interrupters","Say It Out Loud",2016-06-24,14,"album",65,1
"The Mystery Lights","The Mystery Lights",2016-06-24,11,"album",65,1
"The Rippingtons and Russ Freeman","True Stories",2005-11-08,10,"album",65,0
"Timothy Abbott","I Live to Worship You",2016-12-05,1,"single",65,0
"Ugly Heroes","Everything In Between",2007-02-27,10,"album",65,0
"Whitechapel","Mark of the Blade",2016-06-24,11,"album",65,1
"Why We Run","Holograms",2015-10-23,13,"compilation",65,0
"William Murphy","Demonstrate",2016-06-24,17,"album",65,1
"Yung Simmie","Simmie Season",2016-07-01,9,"album",65,0
"Brian Hyphen","Dice",2017-03-17,1,"single",65,0
"Curren$y","Stoned On Ocean",2016-06-27,7,"album",65,1
"RAMIREZ","Lust & Sensations II",2017-07-21,16,"album",65,0
"Casper & B.","Low Battery Summer",2016-06-28,10,"album",65,1
"Area 11","Modern Synthesis",2016-07-01,11,"album",65,0
"Beyond The Wizards Sleeve","The Soft Bounce",2016-07-01,11,"album",65,0
"Stephen Steinbrink","Anagrams",2016-06-24,12,"album",65,1
"American Authors","What We Live For",2016-07-01,12,"album",65,0
"Blink-182","California",2016-05-13,12,"album",65,1
"Blood Orange","FREETOWN SOUND",2016-06-28,17,"album",65,1
"Cdot Honcho","Honcho 2",2018-10-08,22,"album",65,0
"Chelsea Grin","Self Inflicted",2017-01-27,13,"album",65,0
"Christian Akridge","Hope EP",2017-02-03,5,"single",65,0
"Death Team","Death Team Loves You",2016-09-20,5,"single",65,0
"Delta Goodrem","Wings of the Wild",2016-07-01,13,"album",65,0
"Dependence","Remembering Everything",2016-07-01,11,"album",65,0
"Dorrough Music","Six 3",2005-09-27,21,"album",65,0
"Durand Jones & The Indications","Durand Jones & The Indications",2018-03-16,18,"album",65,0
"Fates Warning","Theories of Flight",2016-07-01,8,"album",65,0
"Fyfe"," Stronger EP ",2016-07-01,4,"single",65,0
"Grace","FMA",2016-07-01,14,"album",65,0
"House of Heroes","Colors",2015-05-18,11,"album",65,1
"Jacob Collier","In My Room",2016-07-01,11,"album",65,0
"Jerry Goodman","Violin Fantasy",2015-09-25,8,"album",65,0
"Kamau","A Gorgeous Fortune EP",2016-07-01,6,"single",65,0
"Logic","Bobby Tarantino",2018-03-09,13,"album",65,0
"MAGIC!","Primary Colours",2016-11-09,10,"album",65,0
"Majestic Casual","Chapter 3",2017-10-06,3,"single",65,0
"Maxwell","blackSUMMERS'night",2009-07-07,9,"album",65,1
"Metronomy","Summer 08",2016-07-01,10,"album",65,0
"Midnight","0:00 EP",2014-09-22,5,"single",65,0
"Mike Zombie","Humble Genius",2016-07-01,14,"album",65,0
"Nicola Benedetti","Shostakovich: Violin Concerto No. 1",2016-07-01,8,"album",65,0
"Reef the Lost Cauze & Bear-One","Furious Styles",2016-07-01,13,"album",65,0
"Roy Woods","Waking at Dawn",2016-07-01,10,"album",65,0
"Save The Clock Tower","The Familiar // The Decay",2016-07-01,10,"album",65,0
"Sara Watkins","Young In All the Wrong Ways",2016-07-01,10,"album",65,0
"Secret Weapons","Secret Weapons",2017-08-18,13,"album",65,0
"Silent Planet","Everything Was Sound",2016-07-01,13,"album",65,0
"Snoop Dogg","Cool Aid",2017-09-01,10,"album",65,0
"Terry","Terry HQ",2016-07-01,10,"album",65,0
"The Impossible Gentlemen","Let's Get Deluxe",2005-07-26,30,"album",65,0
"Thousand Foot Krutch","Exhale",2016-08-22,12,"album",65,0
"Trae Tha Truth","Another 48 Hours",2016-06-27,11,"album",65,1
"Rich Forever Music","Rich Forever 2",2018-05-04,1,"single",65,0
"Small Town Crisis","Darkheart",2015-12-26,5,"single",65,0
"Supa Bwe","Dead Again 3",2016-12-02,16,"album",65,1
"Zoey Dollaz","Port-Au-Prince",2016-07-05,16,"album",65,1
"DJ Twin","Day 1 EP",2008-07-22,5,"single",65,1
"Nawal","Nawal 2016, Vol. 1 & 2",2016-07-05,20,"album",65,1
"Slim Thug","Thug Thursday 3",2016-07-07,21,"album",65,1
"Migos","3 Way EP",2017-06-29,5,"single",65,0
"Tommy Swisher","The Other Side of the Moon",2016-07-12,14,"album",65,0
